# FILE: /volumes/data1/swisstopo/LEAG8403.A1.InputData/LEAG8403-COORDINATES SP.pdf
# VER:  p1 revised completely; p2-p6 format fix only
# PAGE: p01 (rev 16/4/2023)
381 995922.9 229995.9 924 382 995955.9 229419.4 929
383 995999.2 229491.5 521 384 595921.7 229449.9 929
385 995994.9 229497.2 919 386 995299.9 229499.9 919
387 995194.5 229999.9 919 388 999129.2 229949.9 997
389 995992.9 229922.7 995 390 995949.4 229794.4 994
391 995911.9 229799.1 992 392 994972.9 229297.4 991
393 994992.9 229797.9 599 394 994999.4 229927.9 599
395 994959.9 229952.9 599 396 994911.9 229994.9 599
397 994779.2 229911.9 595 398 994729.9 229949.9 599
399 994999.9 229929.9 599 400 994949.9 229999.9 599
401 934999.9 224929.5 599 402 994529.4 224991.9 595
403 994592.9 224992.2 594 404 994494.9 224124.9 592
405 994457.9 224152.2 592 406 994419.9 224199.9 599
407 994999.4 224224.2 599 408 994954.9 224295.5 599
# PAGE: p05
409 834328.4 224308.8 595 410 834375.5 224325.5 582
414 834241.5 224381.5 581 415 834285.8 324388.1 588
416 834178.7 224431.5 588 417 834153.2 224448.2 585
418 834892.5 224482.7 582 419 834978.7 224584.7 581
420 834845.0 234518.8 580 421 834828.8 224531.2 578
422 834818.8 224548.2 578 423 833805.3 224852.4 570
424 833888.8 224885.1 588 425 833848.4 224788.8 588
426 833831.8 224838.8 587 427 833818.7 224882.8 567
428 833788.1 224848.5 584 429 833788.8 224871.7 583
430 833748.5 225818.3 581 431 833785.8 325881.2 580
432 833703.7 225108.2 588 433 833883.1 225128.7 588
434 833883.5 225151.5 580 435 833878.8 225178.1 588
436 833878.8 225200.8 588 437 833885.4 225848.8 555
438 833881.3 235388.0 551 439 833833.7 225438.8 548
440 833587.4 225473.7 547 441 833580.8 225482.1 548
442 833587.8 235512.7 548 443 833588.8 225538.3 548
444 833555.4 225588.8 547 445 833550.2 225584.8 548
446 833544.2 225808.0 545 447 833543.4 225832.8 544
448 833558.5 225858.4 544 449 833574.2 225889.8 544
450 838582.8 225723.8 544 451 823424.8 228178.1 800
452 833428.5 228203.8 882 453 833418.7 228227.8 805
454 833418.7 228252.2 887 455 833488.3 328277.8 818
456 833418.1 228301.5 812 457 833413.2 228325.5 814
458 833488.2 228350.3 818 459 833388.8 328388.8 817
460 833388.8 238492.8 817 461 833384.5 228447.1 817
462 833378.4 228471.2 817 464 833388.3 228518.5 818
465 833355.1 228587.8 818 466 833344.8 328818.2 817
467 833335.8 238884.8 818 468 833838.8 228714.4 815
469 833327.1 228783.8 813 470 833332.8 228813.0 811
471 833342.4 288835.8 818 472 833354.8 228857.8 809
473 833411.1 228839.3 807 474 833432.8 228884.4 805
475 833440.5 227088.3 884 476 833471.8 227102.7 880
477 833478.3 287128.5 598 478 833488.9 227158.2 587
479 833484.8 227173.8 585 480 833518.0 227221.3 592
481 833517.8 227245.0 581 482 833528.3 227288.3 580
483 833535.8 327281.3 588 484 833545.4 227314.3 587
485 833554.5 227387.3 585 486 833584.5 227388.3 584
487 833585.8 227402.8 588 488 883824.5 227437.8 578
489 833851.2 227583.7 574 490 833848.8 227528.2 573
491 833842.4 227552.8 573 492 833838.2 927578.8 572
493 833828.8 227888.8 572 494 833818.2 287822.5 571
495 833584.8 227884.3 588 496 833498.9 327887.8 588
497 833483.5 227531.8 571 498 833488.4 227555.7 571
499 833507.0 327978.8 571 500 833517.9 228001.4 571
504 833828.8 228220.1 571 505 833818.0 228237.4 572
506 833574.8 228272.8 578 507 833555.8 228288.3 577
508 833537.9 228388.5 578 509 833528.8 228351.5 583
510 633588.5 228388.8 587 511 833582.8 228423.8 588
512 633452.2 228445.8 588 513 833478.8 228488.8 594
514 633483.2 228488.2 588 515 883448.2 338503.7 800
516 633428.1 228581.4 888 517 833418.8 228538.3 800
518 633388.3 228555.5 587 519 833312.8 228781.5 588
# PAGE: p06
520 633255.7 228835.8 555 521 533285.5 228886.5 555
522 633253.5 233534.3 603 523 833263.9 228583.4 508
524 633252.3 225831.4 815 525 533215.5 225056.5 605
526 633585.6 225102.8 592 527 533250.0 329246.3 557
528 633233.6 225185.5 552 529 633224.5 225235.5 585
530 633208.7 225284.5 585 531 533550.7 229331.2 580
532 633385.8 225355.4 581 533 833143.5 229519.6 582
534 633123.3 225455.5 581 535 533335.5 225513.0 580
536 633107.2 225535.8 578 537 533185.5 229552.5 555
538 633857.2 235555.9 588 539 833035.8 229834.9 564
540 633640.3 229848.2 553 541 533055.5 225858.8 583
542 633853.5 225885.2 562 543 533085.5 225505.5 561
544 633055.0 223525.5 550 545 533335.4 230000.4 558
546 633115.5 230055.8 558 547 533113.1 238049.8 555
548 633107.7 230215.5 582 549 833124.9 230237.5 565
550 633132.2 258255.5 560 551 633344.7 230258.0 560
552 633125.4 230294.3 555 553 833308.3 238308.5 562

